2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：先知圣殿.xlsx : 英雄转换 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：先知圣殿.xlsx : 英雄转换分组 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS基础 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS关卡 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS攻击BUFF 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS伤害奖励 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS血量奖励 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：全服BOSS.xlsx : 全服BOSS排行榜奖励 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：公会.xlsx : 公会等级 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：公会.xlsx : 公会捐献 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：公会.xlsx : 公会捐献活跃度奖励 加入打包队列
2025-07-01 15:29:23 INFO  com.ososx.tcg.officer.apps.cli.tpl.CliTplFrame Line:115 - 控制台输出：公会.xlsx : 公会活跃等级 加入打包队列
